Area,Taluk,District,State,Pincode
A F Station Yelahanka,Bangalore North,Bangalore,KARNATAKA,560063
Agram,Bangalore South,Bangalore,KARNATAKA,560007
Air Force Hospital,Bangalore North,Bangalore,KARNATAKA,560007
Amruthahalli,Bangalore North,Bangalore,KARNATAKA,560092
Anandnagar Bangalore,Bangalore North,Bangalore,KARNATAKA,560024
Arabic College,Bangalore North,Bangalore,KARNATAKA,560045
Attur,Bangalore North,Bangalore,KARNATAKA,560064
Austin Town,Bangalore North,Bangalore,KARNATAKA,560047
Banaswadi,Bangalore North,Bangalore,KARNATAKA,560043
Bangalore Bazaar,Bangalore North,Bangalore,KARNATAKA,560001
Bangalore International Airport,NA,Bangalore,KARNATAKA,560300
Bangalore Sub Foreign Post,NA,Bangalore,KARNATAKA,560025
Bellandur,Bangalore South,Bangalore,KARNATAKA,560103
Benson Town,Bangalore North,Bangalore,KARNATAKA,560046
Bhattarahalli,Bangalore North,Bangalore,KARNATAKA,560049
Bidrahalli,Bangalore South,Bangalore,KARNATAKA,560049
BSF Campus Yelahanka,Bangalore North,Bangalore,KARNATAKA,560063
Byatarayanapura,Bangalore North,Bangalore,KARNATAKA,560092
C.V.Raman Nagar,Bangalore North,Bangalore,KARNATAKA,560093
CMM Court Complex,Bangalore,Bangalore,KARNATAKA,560001
CMP Centre & School,Bangalore North,Bangalore,KARNATAKA,560025
CRPF Campus Yelahanka,Bangalore North,Bangalore,KARNATAKA,560064
Devanagundi,Bangalore South,Bangalore,KARNATAKA,560067
Devasandra,Bangalore North,Bangalore,KARNATAKA,560036
Doddagubbi,Bangalore North,Bangalore,KARNATAKA,560077
Doddanekkundi,Bangalore North,Bangalore,KARNATAKA,560037
Domlur,Bangalore North,Bangalore,KARNATAKA,560071
Doorvaninagar,Bangalore North,Bangalore,KARNATAKA,560016
Dr. Ambedkar Veedhi,Bangalore North,Bangalore,KARNATAKA,560001
Dr. Shivarama Karanth Nagar,Bangalore North,Bangalore,KARNATAKA,560077
EPIP,Bangalore,Bangalore,KARNATAKA,560066
Fraser Town,Bangalore North,Bangalore,KARNATAKA,560005
G.K.V.K.,Bangalore North,Bangalore,KARNATAKA,560065
Gunjur,Bangalore North,Bangalore,KARNATAKA,560087
H.A. Farm,Bangalore North,Bangalore,KARNATAKA,560024
H.A.L II Stage,Bangalore North,Bangalore,KARNATAKA,560008
H.K.P. Road,Bangalore North,Bangalore,KARNATAKA,560051
Hebbal Kempapura,Bangalore North,Bangalore,KARNATAKA,560024
HighCourt,Bangalore North,Bangalore,KARNATAKA,560001
Hoodi,Bangalore North,Bangalore,KARNATAKA,560048
Horamavu,Bangalore North,Bangalore,KARNATAKA,560043
Hulsur Bazaar,Bangalore North,Bangalore,KARNATAKA,560008
Indiranagar Bangalore,Bangalore North,Bangalore,KARNATAKA,560038
ISRO Anthariksha Bhavan,Bangalore North,Bangalore,KARNATAKA,560094
J.C.Nagar,Bangalore North,Bangalore,KARNATAKA,560006
Jakkur,Bangalore North,Bangalore,KARNATAKA,560064
Jalavayuvihar,Bangalore North,Bangalore,KARNATAKA,560043
Jeevanbhimanagar,Bangalore North,Bangalore,KARNATAKA,560075
Kadugodi Extention SO,Banglore,Bangalore,KARNATAKA,560067
Kadugodi,Bangalore South,Bangalore,KARNATAKA,560067
Kalyananagar,Bangalore North,Bangalore,KARNATAKA,560043
Kannamangala,Bangalore South,Bangalore,KARNATAKA,560067
Kodigehalli,Bangalore North,Bangalore,KARNATAKA,560092
Kothanur,Bangalore North,Bangalore,KARNATAKA,560077
Krishnarajapuram R S,Bangalore North,Bangalore,KARNATAKA,560016
Krishnarajapuram,Bangalore North,Bangalore,KARNATAKA,560036
Kundalahalli,Bangalore North,Bangalore,KARNATAKA,560037
Legislators Home,Bangalore North,Bangalore,KARNATAKA,560001
Lingarajapuram,Bangalore North,Bangalore,KARNATAKA,560084
Mahadevapura,Bangalore North,Bangalore,KARNATAKA,560048
Mahatma Gandhi Road,Bangalore North,Bangalore,KARNATAKA,560001
Marathahalli Colony,Bangalore North,Bangalore,KARNATAKA,560037
Maruthi Sevanagar,Bangalore North,Bangalore,KARNATAKA,560033
Medimallasandra,Bangalore South,Bangalore,KARNATAKA,560067
Mundur,Bangalore South,Bangalore,KARNATAKA,560049
Museum Road,Bangalore North,Bangalore,KARNATAKA,560025
Muthusandra,Bangalore South,Bangalore,KARNATAKA,560087
NAL,Bangalore North,Bangalore,KARNATAKA,560017
New Thippasandra,Bangalore North,Bangalore,KARNATAKA,560075
P&T Col. Kavalbyrasandra,Bangalore North,Bangalore,KARNATAKA,560032
Panathur,Bangalore South,Bangalore,KARNATAKA,560103
R T Nagar,Bangalore North,Bangalore,KARNATAKA,560032
R.M.V. Extension II Stage,Bangalore North,Bangalore,KARNATAKA,560094
Rajanakunte,Bangalore North,Bangalore,KARNATAKA,560064
Rajbhavan Bangalore,Bangalore North,Bangalore,KARNATAKA,560001
Ramamurthy Nagar,Bangalore North,Bangalore,KARNATAKA,560016
Rameshnagar,Bangalore North,Bangalore,KARNATAKA,560037
Richmond Town,Bangalore North,Bangalore,KARNATAKA,560025
Sadashivanagar,Bangalore North,Bangalore,KARNATAKA,560080
Sahakaranagar P.O,Bangalore North,Bangalore,KARNATAKA,560092
Singanayakanahalli,Bangalore North,Bangalore,KARNATAKA,560064
Sivan Chetty Gardens,Bangalore North,Bangalore,KARNATAKA,560042
St. Thomas Town,Bangalore North,Bangalore,KARNATAKA,560084
Training Command IAF,Bangalore North,Bangalore,KARNATAKA,560006
Vartur,Bangalore South,Bangalore,KARNATAKA,560087
Vasanthanagar,NA,Bangalore,KARNATAKA,560001
Venkateshapura,Bangalore North,Bangalore,KARNATAKA,560045
Vidhana Soudha,Bangalore North,Bangalore,KARNATAKA,560001
Vimanapura,Bangalore North,Bangalore,KARNATAKA,560017
Virgonagar,Bangalore North,Bangalore,KARNATAKA,560049
Viveknagar Bangalore,Bangalore South,Bangalore,KARNATAKA,560047
Whitefield,Bangalore South,Bangalore,KARNATAKA,560066
Yelahanka,Bangalore North,Bangalore,KARNATAKA,560064
